Date,Open,High,Low,Close,Adj Close,Volume
2021/3/10,31906.96,32389.5,31906.96,32297.02,32297.02,4091100
2021/3/9,31892.35,32150.32,31822.64,31832.74,31832.74,4586900
2021/3/8,31512.15,32148.04,31512.15,31802.44,31802.44,4969800
2021/3/5,31029.18,31580.33,30766.81,31496.3,31496.3,5018100
2021/3/4,31289.01,31461.97,30547.53,30924.14,30924.14,5378500
2021/3/3,31352.96,31563.31,31260.14,31270.09,31270.09,4096600
2021/3/2,31535.37,31623.27,31377.16,31391.52,31391.52,3372700
2021/3/1,31065.9,31668.34,31065.9,31535.51,31535.51,3856700
2021/2/26,31401.29,31450.89,30911.37,30932.37,30932.37,5322500
2021/2/25,31955.94,31984.77,31293.32,31402.01,31402.01,4541100
2021/2/24,31499.75,32009.64,31421.29,31961.86,31961.86,4101500
2021/2/23,31501.89,31653.38,31158.76,31537.35,31537.35,4604100
2021/2/22,31381.12,31653.48,31286.57,31521.69,31521.69,3872100
2021/2/19,31504.13,31647.53,31469.34,31494.32,31494.32,3530700
2021/2/18,31558.6,31558.6,31285.32,31493.34,31493.34,3259900
2021/2/17,31485.61,31643.7,31338.76,31613.02,31613.02,3435100
2021/2/16,31472.08,31608.63,31443.48,31522.75,31522.75,3292100
2021/2/12,31420.8,31475.31,31347.8,31458.4,31458.4,2630900
2021/2/11,31466.49,31543.82,31244.36,31430.7,31430.7,2803200
2021/2/10,31428.02,31511.44,31221.32,31437.8,31437.8,3264500
2021/2/9,31359.88,31439.47,31245.86,31375.83,31375.83,3082100
2021/2/8,31191.2,31386.1,31191.2,31385.76,31385.76,3222500
2021/2/5,31093.81,31252.18,31083.22,31148.24,31148.24,2935500
2021/2/4,30737.78,31065.96,30737.78,31055.86,31055.86,3383300
2021/2/3,30689.65,30793.41,30521.31,30723.6,30723.6,3055900
2021/2/2,30276.88,30840.54,30276.88,30687.48,30687.48,3331600
2021/2/1,30054.73,30335.91,30014.97,30211.91,30211.91,3470600
2021/1/29,30553.91,30553.91,29856.3,29982.62,29982.62,5363200
2021/1/28,30377.19,30951.41,30377.19,30603.36,30603.36,4651400
2021/1/27,30893.78,30893.78,30206.91,30303.17,30303.17,5664700
2021/1/26,30968.55,31121.42,30921.71,30937.04,30937.04,3731500
2021/1/25,30989.85,30989.85,30564.06,30960,30960,4728900
2021/1/22,31141.56,31141.56,30908.47,30996.98,30996.98,4360400
2021/1/21,31198.01,31272.22,31120.92,31176.01,31176.01,4187800
2021/1/20,31017.54,31235.98,30997.79,31188.38,31188.38,3849800
2021/1/19,30887.42,31086.62,30865.03,30930.52,30930.52,3864000
2021/1/15,30926.77,30941.98,30612.67,30814.26,30814.26,4330000
2021/1/14,31085.67,31223.78,30982.24,30991.52,30991.52,4278100
2021/1/13,31084.88,31153.37,30992.05,31060.47,31060.47,4132500
2021/1/12,31015.01,31114.56,30888.76,31068.69,31068.69,3626200
2021/1/11,31015.37,31096.98,30832.06,31008.69,31008.69,3565400
2021/1/8,31069.58,31140.67,30793.27,31097.97,31097.97,3811500
2021/1/7,30901.18,31193.4,30897.86,31041.13,31041.13,4278100
2021/1/6,30362.78,31022.65,30313.07,30829.4,30829.4,5004300
2021/1/5,30204.25,30504.89,30141.78,30391.6,30391.6,3509100
2021/1/4,30627.47,30674.28,29881.82,30223.89,30223.89,4750800
2020/12/31,30417.64,30637.47,30344.5,30606.48,30606.48,2844700
2020/12/30,30415.09,30525.35,30393.04,30409.56,30409.56,2918900
2020/12/29,30492.07,30588.79,30274.24,30335.67,30335.67,3576100
2020/12/28,30283.23,30525.56,30283.23,30403.97,30403.97,3024900
2020/12/24,30155.92,30209.67,30099.3,30199.87,30199.87,1455700
2020/12/23,30046.73,30292.53,30046.73,30129.83,30129.83,2740500
2020/12/22,30200.2,30200.2,29992.89,30015.51,30015.51,3888100
2020/12/21,30159,30304.14,29755.53,30216.45,30216.45,4374800
2020/12/18,30314.26,30343.59,30029.44,30179.05,30179.05,7820700
2020/12/17,30216,30323.78,30216,30303.37,30303.37,3455300
2020/12/16,30191.38,30236.03,30080.11,30154.54,30154.54,3445900
2020/12/15,29919.09,30243.26,29894.95,30199.31,30199.31,4177700
2020/12/14,30123.91,30325.79,29849.15,29861.55,29861.55,3719800
2020/12/11,29988.21,30071.13,29820.84,30046.37,30046.37,3938700
2020/12/10,30032.55,30063.87,29876.82,29999.26,29999.26,3255500
2020/12/9,30229.81,30319.7,29951.85,30068.81,30068.81,3805200
2020/12/8,29997.95,30246.22,29972.07,30173.88,30173.88,3111900
2020/12/7,30233.03,30233.03,29967.22,30069.79,30069.79,3658100
2020/12/4,29989.56,30218.26,29989.56,30218.26,30218.26,3565900
2020/12/3,29920.83,30110.88,29877.27,29969.52,29969.52,4056800
2020/12/2,29695.09,29902.51,29599.29,29883.79,29883.79,3852800
2020/12/1,29797.5,30083.31,29797.5,29823.92,29823.92,4295100
2020/11/30,29854.51,29854.51,29463.64,29638.64,29638.64,5513500
2020/11/27,29911.33,30015.13,29819.98,29910.37,29910.37,1770400
2020/11/25,30058.87,30058.87,29806.25,29872.47,29872.47,3230300
2020/11/24,29746.11,30116.51,29746.11,30046.24,30046.24,4327600
2020/11/23,29332.82,29667.75,29332.82,29591.27,29591.27,3872000
2020/11/20,29437.57,29469.89,29231.2,29263.48,29263.48,3053500
2020/11/19,29370.92,29524.9,29228.38,29483.23,29483.23,3313300
2020/11/18,29875.4,29930.85,29432.84,29438.42,29438.42,3828500
2020/11/17,29800.15,29872.42,29520.29,29783.35,29783.35,3723800
2020/11/16,29672.36,29964.29,29672.36,29950.44,29950.44,4182900
2020/11/13,29203.9,29559.25,29203.9,29479.81,29479.81,3488100
2020/11/12,29231.91,29311.83,28902.13,29080.17,29080.17,3693200
2020/11/11,29524.35,29593.11,29281.22,29397.63,29397.63,3767000
2020/11/10,29254.17,29478.86,29126.99,29420.92,29420.92,5269800
2020/11/9,29467.9,29933.83,29130.66,29157.97,29157.97,6733100
2020/11/6,28399.13,28431.96,28189.5,28323.4,28323.4,3267100
2020/11/5,28083.37,28495.05,28083.37,28390.18,28390.18,3901400
2020/11/4,27512.83,28301.5,27512.83,27847.66,27847.66,4478600
2020/11/3,27138.69,27640.21,27138.69,27480.03,27480.03,3509800
2020/11/2,26691.28,27043.48,26691.28,26925.05,26925.05,3799900
2020/10/30,26572.27,26639.18,26143.77,26501.6,26501.6,5048200
2020/10/29,26480.98,26891.89,26290.78,26659.11,26659.11,4197700
2020/10/28,27102.14,27102.14,26497.39,26519.95,26519.95,4961500
2020/10/27,27651.18,27707.69,27457.96,27463.19,27463.19,3664000
2020/10/26,28185.82,28185.82,27370.16,27685.38,27685.38,4041500
2020/10/23,28409.65,28436.52,28149.82,28335.57,28335.57,3473000
2020/10/22,28197.42,28421.31,28040.18,28363.66,28363.66,3303200
2020/10/21,28270.66,28450.64,28196.39,28210.82,28210.82,2994200
2020/10/20,28245.85,28575.03,28243.04,28308.79,28308.79,3502200
2020/10/19,28633.55,28711.93,28139.4,28195.42,28195.42,3587000
2020/10/16,28570.72,28842.9,28570.72,28606.31,28606.31,3561400
2020/10/15,28323.4,28535.85,28181.54,28494.2,28494.2,3289400
2020/10/14,28731.3,28792.56,28461.73,28514,28514,3708000
2020/10/13,28764.95,28808.84,28604.35,28679.81,28679.81,5261100
2020/10/12,28671.12,28957.9,28659.67,28837.52,28837.52,4936800
2020/10/9,28533.61,28676.29,28440.63,28586.9,28586.9,3240500
2020/10/8,28348.86,28459.13,28265.56,28425.51,28425.51,3147500
2020/10/7,27971.36,28369.66,27971.36,28303.46,28303.46,3287500
2020/10/6,28214.24,28354.48,27728.03,27772.76,27772.76,4350300
2020/10/5,27825.42,28162.64,27825.42,28148.64,28148.64,3182100
2020/10/2,27536.39,27861.43,27382.94,27682.81,27682.81,3927700
2020/10/1,27940.63,28041.46,27669.26,27816.9,27816.9,3734500
2020/9/30,27514.64,28026.33,27511.06,27781.7,27781.7,4525500
2020/9/29,27560.24,27605.6,27338.09,27452.66,27452.66,3038200
2020/9/28,27362.14,27722.6,27362.14,27584.06,27584.06,4018600
2020/9/25,26694.51,27239.29,26635.38,27173.96,27173.96,3889000
2020/9/24,26716.09,27094.85,26537.01,26815.44,26815.44,4478100
2020/9/23,27413.6,27464.46,26716.12,26763.13,26763.13,4594700
2020/9/22,27170.34,27333.09,26989.93,27288.18,27288.18,4207200
2020/9/21,27484.71,27484.71,26715.15,27147.7,27147.7,5236600
2020/9/18,27864.87,27946.69,27487.97,27657.42,27657.42,6987100
2020/9/17,27834.18,28056.79,27647.93,27901.98,27901.98,4372300
2020/9/16,28031.69,28364.77,28021.67,28032.38,28032.38,4166500
2020/9/15,28139.76,28231.06,27931.45,27995.6,27995.6,4145200
2020/9/14,27718.74,28086.06,27718.74,27993.33,27993.33,3807500
2020/9/11,27613.86,27828.82,27448.15,27665.64,27665.64,4353300
2020/9/10,28022.51,28174.78,27447.08,27534.58,27534.58,4428500
2020/9/9,27711.71,28206.21,27704.54,27940.47,27940.47,4605900
2020/9/8,27925.23,27925.23,27464.9,27500.89,27500.89,5808600
2020/9/4,28341.05,28539.75,27664.68,28133.31,28133.31,6946400
2020/9/3,29090.7,29199.35,28074.76,28292.73,28292.73,6500800
2020/9/2,28736.79,29162.88,28713.53,29100.5,29100.5,5395100
2020/9/1,28439.61,28659.26,28290.72,28645.66,28645.66,4234100
2020/8/31,28643.66,28643.66,28363.55,28430.05,28430.05,5173200
2020/8/28,28601.29,28733.35,28487.98,28653.87,28653.87,3697400
2020/8/27,28384.07,28634.22,28363.93,28492.27,28492.27,4043400
2020/8/26,28257.88,28353.8,28153.91,28331.92,28331.92,3270700
2020/8/25,28347.42,28400.74,28094.57,28248.44,28248.44,3384200
2020/8/24,28077.58,28314.94,28041.75,28308.46,28308.46,3838800
2020/8/21,27758.13,27959.48,27686.78,27930.33,27930.33,3727200
2020/8/20,27622.68,27781.46,27526.25,27739.73,27739.73,3045500
2020/8/19,27811.26,27920.42,27647.67,27692.88,27692.88,3114600
2020/8/18,27853.48,27891.12,27668.79,27778.07,27778.07,2761700
2020/8/17,27970.05,27999.81,27816.4,27844.91,27844.91,2868600
