Date,Open,High,Low,Close,Adj Close,Volume
2021/3/10,3891.99,3917.35,3885.73,3898.81,3898.81,5827250000
2021/3/9,3851.93,3903.76,3851.93,3875.44,3875.44,5496340000
2021/3/8,3844.39,3881.06,3819.25,3821.35,3821.35,5852240000
2021/3/5,3793.58,3851.69,3730.19,3841.94,3841.94,6842570000
2021/3/4,3818.53,3843.67,3723.34,3768.47,3768.47,7142240000
2021/3/3,3863.99,3874.47,3818.86,3819.72,3819.72,6150790000
2021/3/2,3903.64,3906.41,3868.57,3870.29,3870.29,5493690000
2021/3/1,3842.51,3914.5,3842.51,3901.82,3901.82,5071540000
2021/2/26,3839.66,3861.08,3789.54,3811.15,3811.15,6512950000
2021/2/25,3915.8,3925.02,3814.04,3829.34,3829.34,6513060000
2021/2/24,3873.71,3928.65,3859.6,3925.43,3925.43,5942350000
2021/2/23,3857.07,3895.98,3805.59,3881.37,3881.37,6280650000
2021/2/22,3885.55,3902.92,3874.71,3876.5,3876.5,5870190000
2021/2/19,3921.16,3930.41,3903.07,3906.71,3906.71,4823940000
2021/2/18,3915.86,3921.98,3885.03,3913.97,3913.97,4773430000
2021/2/17,3918.5,3933.61,3900.43,3931.33,3931.33,4718280000
2021/2/16,3939.61,3950.43,3923.85,3932.59,3932.59,5037360000
2021/2/12,3911.65,3937.23,3905.78,3934.83,3934.83,4119260000
2021/2/11,3916.4,3925.99,3890.39,3916.38,3916.38,4570080000
2021/2/10,3920.78,3931.5,3884.94,3909.88,3909.88,4815380000
2021/2/9,3910.49,3918.35,3902.64,3911.23,3911.23,4554610000
2021/2/8,3892.59,3915.77,3892.59,3915.59,3915.59,4635030000
2021/2/5,3878.3,3894.56,3874.93,3886.83,3886.83,4838580000
2021/2/4,3836.66,3872.42,3836.66,3871.74,3871.74,4856670000
2021/2/3,3840.27,3847.51,3816.68,3830.17,3830.17,4846900000
2021/2/2,3791.84,3843.09,3791.84,3826.31,3826.31,5495370000
2021/2/1,3731.17,3784.32,3725.62,3773.86,3773.86,5392870000
2021/1/29,3778.05,3778.05,3694.12,3714.24,3714.24,6612570000
2021/1/28,3755.75,3830.5,3755.75,3787.38,3787.38,6937960000
2021/1/27,3836.83,3836.83,3732.48,3750.77,3750.77,9878040000
2021/1/26,3862.96,3870.9,3847.78,3849.62,3849.62,6029090000
2021/1/25,3851.68,3859.23,3797.16,3855.36,3855.36,6955860000
2021/1/22,3844.24,3852.31,3830.41,3841.47,3841.47,5080430000
2021/1/21,3857.46,3861.45,3845.05,3853.07,3853.07,4484460000
2021/1/20,3816.22,3859.75,3816.22,3851.85,3851.85,4551790000
2021/1/19,3781.88,3804.53,3780.37,3798.91,3798.91,4982940000
2021/1/15,3788.73,3788.73,3749.62,3768.25,3768.25,5353060000
2021/1/14,3814.98,3823.6,3792.86,3795.54,3795.54,5180140000
2021/1/13,3802.23,3820.96,3791.5,3809.84,3809.84,4590420000
2021/1/12,3801.62,3810.78,3776.51,3801.19,3801.19,4977210000
2021/1/11,3803.14,3817.86,3789.02,3799.61,3799.61,4450500000
2021/1/8,3815.05,3826.69,3783.6,3824.68,3824.68,4764180000
2021/1/7,3764.71,3811.55,3764.71,3803.79,3803.79,5080870000
2021/1/6,3712.2,3783.04,3705.34,3748.14,3748.14,6049970000
2021/1/5,3698.02,3737.83,3695.07,3726.86,3726.86,4582620000
2021/1/4,3764.61,3769.99,3662.71,3700.65,3700.65,5006680000
2020/12/31,3733.27,3760.2,3726.88,3756.07,3756.07,3172510000
2020/12/30,3736.19,3744.63,3730.21,3732.04,3732.04,3145200000
2020/12/29,3750.01,3756.12,3723.31,3727.04,3727.04,3387030000
2020/12/28,3723.03,3740.51,3723.03,3735.36,3735.36,3527460000
2020/12/24,3694.03,3703.82,3689.32,3703.06,3703.06,1885090000
2020/12/23,3693.42,3711.24,3689.28,3690.01,3690.01,3772630000
2020/12/22,3698.08,3698.26,3676.16,3687.26,3687.26,4023940000
2020/12/21,3684.28,3702.9,3636.48,3694.92,3694.92,4732160000
2020/12/18,3722.39,3726.7,3685.84,3709.41,3709.41,7068340000
2020/12/17,3713.65,3725.12,3710.87,3722.48,3722.48,4184930000
2020/12/16,3696.25,3711.27,3688.57,3701.17,3701.17,4056950000
2020/12/15,3666.41,3695.29,3659.62,3694.62,3694.62,4360280000
2020/12/14,3675.27,3697.61,3645.84,3647.49,3647.49,4594920000
2020/12/11,3656.08,3665.91,3633.4,3663.46,3663.46,4367150000
2020/12/10,3659.13,3678.49,3645.18,3668.1,3668.1,4618240000
2020/12/9,3705.98,3712.39,3660.54,3672.82,3672.82,5209940000
2020/12/8,3683.05,3708.45,3678.83,3702.25,3702.25,4549670000
2020/12/7,3694.73,3697.41,3678.88,3691.96,3691.96,4788560000
2020/12/4,3670.94,3699.2,3670.94,3699.12,3699.12,5086370000
2020/12/3,3668.28,3682.73,3657.17,3666.72,3666.72,5091760000
2020/12/2,3653.78,3670.96,3644.84,3669.01,3669.01,5029620000
2020/12/1,3645.87,3678.45,3645.87,3662.45,3662.45,5403660000
2020/11/30,3634.18,3634.18,3594.39,3621.63,3621.63,6291400000
2020/11/27,3638.55,3644.31,3629.33,3638.35,3638.35,2778450000
2020/11/25,3635.5,3635.5,3617.76,3629.65,3629.65,4902560000
2020/11/24,3594.52,3642.31,3594.52,3635.41,3635.41,6267570000
2020/11/23,3566.82,3589.81,3552.77,3577.59,3577.59,5036290000
2020/11/20,3579.31,3581.23,3556.85,3557.54,3557.54,4218970000
2020/11/19,3559.41,3585.22,3543.84,3581.87,3581.87,4347200000
2020/11/18,3612.09,3619.09,3567.33,3567.79,3567.79,5274450000
2020/11/17,3610.31,3623.11,3588.68,3609.53,3609.53,4799570000
2020/11/16,3600.16,3628.51,3600.16,3626.91,3626.91,5281980000
2020/11/13,3552.57,3593.66,3552.57,3585.15,3585.15,4709670000
2020/11/12,3562.67,3569.02,3518.58,3537.01,3537.01,4890120000
2020/11/11,3563.22,3581.16,3557,3572.66,3572.66,4609970000
2020/11/10,3543.26,3557.22,3511.91,3545.53,3545.53,6024230000
2020/11/9,3583.04,3645.99,3547.48,3550.5,3550.5,8556610000
2020/11/6,3508.34,3521.58,3484.34,3509.44,3509.44,4833950000
2020/11/5,3485.74,3529.05,3485.74,3510.45,3510.45,4841190000
2020/11/4,3406.46,3486.25,3405.17,3443.44,3443.44,4783040000
2020/11/3,3336.25,3389.49,3336.25,3369.16,3369.16,4220070000
2020/11/2,3296.2,3330.14,3279.74,3310.24,3310.24,4310590000
2020/10/30,3293.59,3304.93,3233.94,3269.96,3269.96,4840450000
2020/10/29,3277.17,3341.05,3259.82,3310.11,3310.11,4903070000
2020/10/28,3342.48,3342.48,3268.89,3271.03,3271.03,5129860000
2020/10/27,3403.15,3409.51,3388.71,3390.68,3390.68,3946990000
2020/10/26,3441.42,3441.42,3364.86,3400.97,3400.97,3988080000
2020/10/23,3464.9,3466.46,3440.45,3465.39,3465.39,3646570000
2020/10/22,3438.5,3460.53,3415.34,3453.49,3453.49,4163630000
2020/10/21,3439.91,3464.86,3433.06,3435.56,3435.56,4097750000
2020/10/20,3439.38,3476.93,3435.65,3443.12,3443.12,3901260000
2020/10/19,3493.66,3502.42,3419.93,3426.92,3426.92,4086200000
2020/10/16,3493.5,3515.76,3480.45,3483.81,3483.81,4675890000
2020/10/15,3453.72,3489.08,3440.89,3483.34,3483.34,3717640000
2020/10/14,3515.47,3527.94,3480.55,3488.67,3488.67,3840630000
2020/10/13,3534.01,3534.01,3500.86,3511.93,3511.93,3605150000
2020/10/12,3500.02,3549.85,3499.61,3534.22,3534.22,3428970000
2020/10/9,3459.67,3482.34,3458.07,3477.14,3477.14,3939060000
2020/10/8,3434.28,3447.28,3428.15,3446.83,3446.83,3856190000
2020/10/7,3384.56,3426.26,3384.56,3419.44,3419.44,3807830000
2020/10/6,3408.74,3431.56,3354.54,3360.97,3360.97,4443380000
2020/10/5,3367.27,3409.57,3367.27,3408.6,3408.6,3686920000
2020/10/2,3338.94,3369.1,3323.69,3348.42,3348.42,3961550000
2020/10/1,3385.87,3397.18,3361.39,3380.8,3380.8,4070530000
2020/9/30,3341.21,3393.56,3340.47,3363,3363,4722530000
2020/9/29,3350.92,3357.92,3327.54,3335.47,3335.47,3651880000
2020/9/28,3333.9,3360.74,3332.91,3351.6,3351.6,3946060000
2020/9/25,3236.66,3306.88,3228.44,3298.46,3298.46,3792220000
2020/9/24,3226.14,3278.7,3209.45,3246.59,3246.59,4599470000
2020/9/23,3320.11,3323.35,3232.57,3236.92,3236.92,4364500000
2020/9/22,3295.75,3320.31,3270.95,3315.57,3315.57,3963300000
2020/9/21,3285.57,3285.57,3229.1,3281.06,3281.06,4828350000
2020/9/18,3357.38,3362.27,3292.4,3319.47,3319.47,7068700000
2020/9/17,3346.86,3375.17,3328.82,3357.01,3357.01,4371940000
2020/9/16,3411.23,3428.92,3384.45,3385.49,3385.49,4710030000
2020/9/15,3407.73,3419.48,3389.25,3401.2,3401.2,4051460000
2020/9/14,3363.56,3402.93,3363.56,3383.54,3383.54,3832130000
2020/9/11,3352.7,3368.95,3310.47,3340.97,3340.97,3704450000
2020/9/10,3412.56,3425.55,3329.25,3339.19,3339.19,4192250000
2020/9/9,3369.82,3424.77,3366.84,3398.96,3398.96,3920830000
2020/9/8,3371.88,3379.97,3329.27,3331.84,3331.84,4665600000
2020/9/4,3453.6,3479.15,3349.63,3426.96,3426.96,4431440000
2020/9/3,3564.74,3564.85,3427.41,3455.06,3455.06,4898680000
2020/9/2,3543.76,3588.11,3535.23,3580.84,3580.84,4285190000
2020/9/1,3507.44,3528.03,3494.6,3526.65,3526.65,4083110000
2020/8/31,3509.73,3514.77,3493.25,3500.31,3500.31,4342290000
2020/8/28,3494.69,3509.23,3484.32,3508.01,3508.01,3855880000
2020/8/27,3485.14,3501.38,3468.35,3484.55,3484.55,3929560000
2020/8/26,3449.97,3481.07,3444.15,3478.73,3478.73,3754360000
2020/8/25,3435.95,3444.21,3425.84,3443.62,3443.62,3619300000
2020/8/24,3418.09,3432.09,3413.13,3431.28,3431.28,3728690000
2020/8/21,3386.01,3399.96,3379.31,3397.16,3397.16,3705420000
2020/8/20,3360.48,3390.8,3354.69,3385.51,3385.51,3642850000
2020/8/19,3392.51,3399.54,3369.66,3374.85,3374.85,3884480000
2020/8/18,3387.04,3395.06,3370.15,3389.78,3389.78,3881310000
2020/8/17,3380.86,3387.59,3379.22,3381.99,3381.99,3671290000
2020/8/14,3368.66,3378.51,3361.64,3372.85,3372.85,3193400000
2020/8/13,3372.95,3387.24,3363.35,3373.43,3373.43,3648810000
2020/8/12,3355.46,3387.89,3355.46,3380.35,3380.35,3768560000
2020/8/11,3370.34,3381.01,3326.44,3333.69,3333.69,5087650000
2020/8/10,3356.04,3363.29,3335.44,3360.47,3360.47,4318570000
2020/8/7,3340.05,3352.54,3328.72,3351.28,3351.28,4104860000
2020/8/6,3323.17,3351.03,3318.14,3349.16,3349.16,4267490000
2020/8/5,3317.37,3330.77,3317.37,3327.77,3327.77,4732220000
2020/8/4,3289.92,3306.84,3286.37,3306.51,3306.51,4621670000
2020/8/3,3288.26,3302.73,3284.53,3294.61,3294.61,4643640000
2020/7/31,3270.45,3272.17,3220.26,3271.12,3271.12,5117260000
2020/7/30,3231.76,3250.92,3204.13,3246.22,3246.22,4254010000
2020/7/29,3227.22,3264.74,3227.22,3258.44,3258.44,4676300000
2020/7/28,3234.27,3243.72,3216.17,3218.44,3218.44,4027890000
2020/7/27,3219.84,3241.43,3214.25,3239.41,3239.41,3963910000
2020/7/24,3218.58,3227.26,3200.05,3215.63,3215.63,3894900000
2020/7/23,3271.64,3279.99,3222.66,3235.66,3235.66,4290460000
2020/7/22,3254.86,3279.32,3253.1,3276.02,3276.02,4255190000
2020/7/21,3268.52,3277.29,3247.77,3257.3,3257.3,4547960000
2020/7/20,3224.29,3258.61,3215.16,3251.84,3251.84,3971200000
2020/7/17,3224.21,3233.52,3205.65,3224.73,3224.73,3993830000
2020/7/16,3208.36,3220.39,3198.59,3215.57,3215.57,3961230000
2020/7/15,3225.98,3238.28,3200.76,3226.56,3226.56,4669760000
2020/7/14,3141.11,3200.95,3127.66,3197.52,3197.52,4476170000
2020/7/13,3205.08,3235.32,3149.43,3155.22,3155.22,4890780000
2020/7/10,3152.47,3186.82,3136.22,3185.04,3185.04,4515340000
2020/7/9,3176.17,3179.78,3115.7,3152.05,3152.05,4829020000
2020/7/8,3153.07,3171.8,3136.53,3169.94,3169.94,4927700000
2020/7/7,3166.44,3184.15,3142.93,3145.32,3145.32,4563700000
2020/7/6,3155.29,3182.59,3155.29,3179.72,3179.72,4736450000
2020/7/2,3143.64,3165.81,3124.52,3130.01,3130.01,4190830000
2020/7/1,3105.92,3128.44,3101.17,3115.86,3115.86,4443130000
